ID,Site,ClosestWS,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Totaldays,Totalhours,Count,,
1,Oil,DanishMet/nearAirport,6/2/2017,17:45,6/2/2017 17:45,6/2/2017,20:50,6/2/2017 20:50,0.128472222,3.08,106,,
2,Kennels,DanishMet/nearAirport,6/2/2017,18:00,6/2/2017 18:00,6/2/2017,21:05,6/2/2017 21:05,0.128472222,3.08,1,,
3,KISS,DanishMet/nearAirport,6/2/2017,18:07,6/2/2017 18:07,6/2/2017,21:10,6/2/2017 21:10,0.127083333,3.05,1,,
4,Golf,DanishMet,6/4/2017,18:00,6/4/2017 18:00,6/4/2017,20:00,6/4/2017 20:00,0.083333333,2,0,,
5,Kforest,DanishMet,6/4/2017,18:00,6/4/2017 18:00,6/4/2017,20:00,6/4/2017 20:00,0.083333333,2,3,,
6,KISS,DanishMet,6/5/2017,15:40,6/5/2017 15:40,6/5/2017,21:20,6/5/2017 21:20,0.236111111,5.67,0,,
7,Oil,DanishMet,6/5/2017,18:10,6/5/2017 18:10,6/5/2017,22:00,6/5/2017 22:00,0.159722222,3.83,0,,
8,River over,Waterfall,6/5/2017,18:20,6/5/2017 18:20,6/5/2017,22:00,6/5/2017 22:00,0.152777778,3.67,0,,
9,Golf ,DanishMet,6/5/2017,18:25,6/5/2017 18:25,6/5/2017,22:10,6/5/2017 22:10,0.15625,3.75,1,,
10,Kforest,DanishMet,6/5/2017,18:30,6/5/2017 18:30,6/5/2017,22:15,6/5/2017 22:15,0.15625,3.75,0,,
11,Camp,Waterfall,6/6/2017,9:00,6/6/2017 9:00,6/6/2017,11:00,6/6/2017 11:00,0.083333333,2,28,,
12,Golf,DanishMet,6/6/2017,17:48,6/6/2017 17:48,6/6/2017,21:28,6/6/2017 21:28,0.152777778,3.67,301,,
13,Kforest,DanishMet,6/6/2017,17:53,6/6/2017 17:53,6/6/2017,21:34,6/6/2017 21:34,0.153472222,3.68,397,,
14,Waterfall up,Waterfall,6/6/2017,18:05,6/6/2017 18:05,6/6/2017,21:46,6/6/2017 21:46,0.153472222,3.68,80,,
15,Waterfall,Waterfall,6/6/2017,18:11,6/6/2017 18:11,6/6/2017,21:49,6/6/2017 21:49,0.151388889,3.63,95,, 
16,Seatomato,Waterfall,6/6/2017,18:21,6/6/2017 18:21,6/6/2017,22:00,6/6/2017 22:00,0.152083333,3.65,24,,
17,KISS,DanishMet,6/6/2017,19:45,6/6/2017 19:45,6/6/2017,21:00,6/6/2017 21:00,0.052083333,1.25,67,,
18,KISS,DanishMet,6/8/2017,13:20,6/8/2017 13:20,6/8/2017,17:30,6/8/2017 17:30,0.173611111,4.17,30,,
19,Seatomato,Waterfall,6/8/2017,18:05,6/8/2017 18:05,6/8/2017,21:05,6/8/2017 21:05,0.125,3,8,,
20,VV2,Vulgaris,6/8/2017,18:35,6/8/2017 18:35,6/8/2017,21:35,6/8/2017 21:35,0.125,3,6,,
21,VV1,Vulgaris,6/8/2017,18:40,6/8/2017 18:40,6/8/2017,21:40,6/8/2017 21:40,0.125,3,32,,
22,KISS,DanishMet,6/9/2017,9:30,6/9/2017 9:30,6/9/2017,12:00,6/9/2017 12:00,0.104166667,2.5,2,,
23,Kforest,DanishMet,6/9/2017,17:35,6/9/2017 17:35,6/9/2017,21:48,6/9/2017 21:48,0.175694444,4.22,10,,
24,Golf,DanishMet,6/9/2017,17:44,6/9/2017 17:44,6/9/2017,21:55,6/9/2017 21:55,0.174305556,4.18,0,,
25,Oil,DanishMet,6/9/2017,17:52,6/9/2017 17:52,6/9/2017,21:37,6/9/2017 21:37,0.15625,3.75,41,,
26,KISS,DanishMet,6/9/2017,18:10,6/9/2017 18:10,6/9/2017,21:25,6/9/2017 21:25,0.135416667,3.25,21,,
27,Waterfall,Waterfall,6/10/2017,18:13,6/10/2017 18:13,6/10/2017,21:35,6/10/2017 21:35,0.140277778,3.37,17,,
28,Waterfall up,Waterfall,6/10/2017,18:24,6/10/2017 18:24,6/10/2017,21:45,6/10/2017 21:45,0.139583333,3.35,12,,
29,Seatomato,Waterfall,6/10/2017,18:35,6/10/2017 18:35,6/10/2017,21:55,6/10/2017 21:55,0.138888889,3.33,24,,
30,KISS,DanishMet,6/11/2017,10:00,6/11/2017 10:00,6/11/2017,19:05,6/11/2017 19:05,0.378472222,9.08,83,,
31,KISS,DanishMet,6/12/2017,12:14,6/12/2017 12:14,6/12/2017,17:41,6/12/2017 17:41,0.227083333,5.45,104,,
32,Oil,DanishMet,6/12/2017,17:45,6/12/2017 17:45,6/12/2017,21:12,6/12/2017 21:12,0.14375,3.45,1120,,
33,Golf,DanishMet,6/12/2017,17:57,6/12/2017 17:57,6/12/2017,21:21,6/12/2017 21:21,0.141666667,3.4,106,,
34,Kforest,DanishMet,6/12/2017,18:02,6/12/2017 18:02,6/12/2017,21:27,6/12/2017 21:27,0.142361111,3.42,161,,
35,KISS,DanishMet,6/13/2017,12:11,6/13/2017 12:11,6/13/2017,16:50,6/13/2017 16:50,0.19375,4.65,190,,
36,Moz valley,Vulgaris,6/13/2017,18:05,6/13/2017 18:05,6/13/2017,21:07,6/13/2017 21:07,0.126388889,3.03,270,,
37,VV2,Vulgaris,6/13/2017,18:15,6/13/2017 18:15,6/13/2017,21:17,6/13/2017 21:17,0.126388889,3.03,231,,
38,VV1,Vulgaris,6/13/2017,18:20,6/13/2017 18:20,6/13/2017,21:21,6/13/2017 21:21,0.125694444,3.02,61,,
39,Bunny Hill,Vulgaris,6/13/2017,18:25,6/13/2017 18:25,6/13/2017,21:26,6/13/2017 21:26,0.125694444,3.02,469,,
40,KISS,DanishMet,6/14/2017,18:42,6/14/2017 18:42,6/14/2017,21:46,6/14/2017 21:46,0.127777778,3.07,43,,
41,Oil,DanishMet,6/14/2017,18:48,6/14/2017 18:48,6/14/2017,21:55,6/14/2017 21:55,0.129861111,3.12,634,,
42,Golf,DanishMet,6/14/2017,18:55,6/14/2017 18:55,6/14/2017,22:05,6/14/2017 22:05,0.131944444,3.17,259,,
43,Kforest,DanishMet,6/14/2017,19:01,6/14/2017 19:01,6/14/2017,20:20,6/14/2017 20:20,0.054861111,1.32,74,,
44,Waterfall up,Waterfall,6/15/2017,18:21,6/15/2017 18:21,6/15/2017,21:40,6/15/2017 21:40,0.138194444,3.32,28,,
45,Waterfall,Waterfall,6/15/2017,18:30,6/15/2017 18:30,6/15/2017,21:57,6/15/2017 21:57,0.14375,3.45,141,,
46,Seatomato,Waterfall,6/15/2017,18:40,6/15/2017 18:40,6/15/2017,22:05,6/15/2017 22:05,0.142361111,3.42,129,,
47,KISS,DanishMet,6/16/2017,14:00,6/16/2017 14:00,6/16/2017,21:30,6/16/2017 21:30,0.3125,7.5,62,,
48,Oil,DanishMet,6/16/2017,18:20,6/16/2017 18:20,6/16/2017,21:40,6/16/2017 21:40,0.138888889,3.33,41,,
49,Golf,DanishMet,6/16/2017,18:28,6/16/2017 18:28,6/16/2017,21:50,6/16/2017 21:50,0.140277778,3.37,5,,
50,Kforest,DanishMet,6/16/2017,18:32,6/16/2017 18:32,6/16/2017,21:55,6/16/2017 21:55,0.140972222,3.38,10,,
51,KISS,DanishMet,6/17/2017,13:30,6/17/2017 13:30,6/17/2017,18:00,6/17/2017 18:00,0.1875,4.5,79,,
52,Moz valley,Vulgaris,6/17/2017,18:39,6/17/2017 18:39,6/17/2017,21:42,6/17/2017 21:42,0.127083333,3.05,0,,
53,VV2,Vulgaris,6/17/2017,18:50,6/17/2017 18:50,6/17/2017,21:50,6/17/2017 21:50,0.125,3,0,,
54,VV1,Vulgaris,6/17/2017,18:54,6/17/2017 18:54,6/17/2017,21:55,6/17/2017 21:55,0.125694444,3.02,20,,
55,Bunny Hill,Vulgaris,6/17/2017,19:00,6/17/2017 19:00,6/17/2017,22:00,6/17/2017 22:00,0.125,3,3,,
